eu_rank,ime_uni,mesto,drzava,svetovni_rank,drzavni_rank,uni_url,velikost,selektivnost,leto_ustanovitve,cena_solanja,zgornja_meja_cene
1,University of Oxford,Oxford,United Kingdom,9,1,https://www.unirank.org/gb/uni/university-of-oxford/,large-sized,very selective,1096,"12,500-14,999 US$ (11,390-13,670 Euro)","14,999 US$"
2,University of Cambridge,Cambridge,United Kingdom,16,2,https://www.unirank.org/gb/uni/university-of-cambridge/,large-sized,extremely selective,1209,"12,500-14,999 US$ (11,390-13,670 Euro)","14,999 US$"
3,University College London,London,United Kingdom,41,3,https://www.unirank.org/gb/uni/university-college-london/,very large-sized,not reported,1826,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
4,Eidgenössische Technische Hochschule Zürich,Zürich,Switzerland,45,1,https://www.unirank.org/ch/uni/eidgenossische-technische-hochschule-zurich/,large-sized,not reported,1855,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
5,University of Edinburgh,Edinburgh,United Kingdom,50,4,https://www.unirank.org/gb/uni/university-of-edinburgh/,very large-sized,not reported,1583,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
6,Ludwig-Maximilians-Universität München,Munich,Germany,71,1,https://www.unirank.org/de/uni/ludwig-maximilians-universitat-munchen/,very large-sized,not reported,1472,0-999 US$ (0-910 Euro),999 US$
7,The London School of Economics and Political Science,London,United Kingdom,73,5,https://www.unirank.org/gb/uni/the-london-school-of-economics-and-political-science/,large-sized,not reported,1895,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
8,Universität Wien,Vienna,Austria,82,1,https://www.unirank.org/at/uni/universitat-wien/,very large-sized,not available,1365,0-999 US$ (0-910 Euro),999 US$
9,Katholieke Universiteit Leuven,Leuven,Belgium,93,1,https://www.unirank.org/be/uni/katholieke-universiteit-leuven/,very large-sized,not reported,1425,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
10,Alma Mater Studiorum Università di Bologna,Bologna,Italy,96,1,https://www.unirank.org/it/uni/alma-mater-studiorum-universita-di-bologna/,very large-sized,averagely selective,1088,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
11,University of Manchester,Manchester,United Kingdom,97,6,https://www.unirank.org/gb/uni/university-of-manchester/,very large-sized,not reported,1824,"12,500-14,999 US$ (11,390-13,670 Euro)","14,999 US$"
12,University of Glasgow,Glasgow,United Kingdom,103,7,https://www.unirank.org/gb/uni/university-of-glasgow/,large-sized,not reported,1451,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
13,Imperial College London,London,United Kingdom,105,8,https://www.unirank.org/gb/uni/imperial-college-london/,large-sized,not reported,1907,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
14,Technische Universität München,Munich,Germany,106,2,https://www.unirank.org/de/uni/technische-universitat-munchen/,very large-sized,not available,1868,0-999 US$ (0-910 Euro),999 US$
15,University of Southampton,Southampton,United Kingdom,109,9,https://www.unirank.org/gb/uni/university-of-southampton/,large-sized,not reported,1952,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
16,Ruprecht-Karls-Universität Heidelberg,Heidelberg,Germany,110,3,https://www.unirank.org/de/uni/ruprecht-karls-universitat-heidelberg/,very large-sized,not reported,1386,0-999 US$ (0-910 Euro),999 US$
17,King's College London,London,United Kingdom,115,10,https://www.unirank.org/gb/uni/king-s-college-london/,large-sized,not reported,1829,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
18,Freie Universität Berlin,Berlin,Germany,117,4,https://www.unirank.org/de/uni/freie-universitat-berlin/,large-sized,not reported,1948,0-999 US$ (0-910 Euro),999 US$
19,Helsingin yliopisto,Helsinki,Finland,119,1,https://www.unirank.org/fi/uni/helsingin-yliopisto/,large-sized,extremely selective,1640,0-999 US$ (0-910 Euro),999 US$
20,Universiteit Utrecht,Utrecht,Netherlands,121,1,https://www.unirank.org/nl/uni/universiteit-utrecht/,very large-sized,not reported,1636,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
21,University of Warwick,Coventry,United Kingdom,122,11,https://www.unirank.org/gb/uni/university-of-warwick/,large-sized,not reported,1965,"12,500-14,999 US$ (11,390-13,670 Euro)","14,999 US$"
22,Universiteit van Amsterdam,Amsterdam,Netherlands,123,2,https://www.unirank.org/nl/uni/universiteit-van-amsterdam/,large-sized,not reported,1632,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
23,Universidad de Barcelona,Barcelona,Spain,125,1,https://www.unirank.org/es/uni/universidad-de-barcelona/,very large-sized,moderately selective,1450,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
24,University of Birmingham,Birmingham,United Kingdom,126,12,https://www.unirank.org/gb/uni/university-of-birmingham/,very large-sized,not reported,1900,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
25,Universitetet i Oslo,Oslo,Norway,128,1,https://www.unirank.org/no/uni/universitetet-i-oslo/,large-sized,not reported,1811,0-999 US$ (0-910 Euro),999 US$
26,Universiteit Leiden,Leiden,Netherlands,129,3,https://www.unirank.org/nl/uni/universiteit-leiden/,very large-sized,not reported,1575,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
27,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,132,5,https://www.unirank.org/de/uni/friedrich-alexander-universitat-erlangen-nurnberg/,very large-sized,averagely selective,1743,0-999 US$ (0-910 Euro),999 US$
28,École Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,134,2,https://www.unirank.org/ch/uni/ecole-polytechnique-federale-de-lausanne/,large-sized,not reported,1969,0-999 US$ (0-910 Euro),999 US$
29,Technische Universiteit Delft,Delft,Netherlands,136,4,https://www.unirank.org/nl/uni/technische-universiteit-delft/,large-sized,moderately selective,1842,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
30,Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany,137,6,https://www.unirank.org/de/uni/rheinisch-westfalische-technische-hochschule-aachen/,very large-sized,not reported,1870,0-999 US$ (0-910 Euro),999 US$
31,Rijksuniversiteit Groningen,Groningen,Netherlands,139,5,https://www.unirank.org/nl/uni/rijksuniversiteit-groningen/,very large-sized,not reported,1614,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
